Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Uo Units,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Properties,Value
CHEMBL1096938,nan,,472.6,1.0,5.46,MBX-1162,c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCCN1,MIC50,'=',0.03,ug.mL-1,UO_0000274,0.0,CHEMBL1678016,Antimicrobial activity against Streptococcus agalactiae by broth microdilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1671722,1.0,Scientific Literature,Antimicrob Agents Chemother,2010.0,nan,0.03
CHEMBL1096938,nan,,472.6,1.0,5.46,MBX-1162,c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCCN1,MIC90,'=',0.03,ug.mL-1,UO_0000274,0.0,CHEMBL1678016,Antimicrobial activity against Streptococcus agalactiae by broth microdilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1671722,1.0,Scientific Literature,Antimicrob Agents Chemother,2010.0,nan,0.03
CHEMBL1097570,ISOPROPYL DIETHYLCARBAMO(DITHIOPEROXO)THIOATE,,223.43,0.0,3.4,1d,CCN(CC)C(=S)SSC(C)C,MIC,'>',32000.0,nM,UO_0000065,0.0,CHEMBL4222724,Antibacterial activity against Streptococcus agalactiae SGBS005 after 20 hrs by broth microdilution assay,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL4219167,1.0,Scientific Literature,Bioorg Med Chem Lett,2018.0,nan,32.0
CHEMBL1097571,DIETHYLCARBAMO(DITHIOPEROXO)THIOATE,,265.51,0.0,4.57,1h,CCCCCCSSC(=S)N(CC)CC,MIC,'>',32000.0,nM,UO_0000065,0.0,CHEMBL4222724,Antibacterial activity against Streptococcus agalactiae SGBS005 after 20 hrs by broth microdilution assay,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL4219167,1.0,Scientific Literature,Bioorg Med Chem Lett,2018.0,nan,32.0
CHEMBL1097945,nan,,444.54,0.0,4.68,MBX-1066,c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCN1,MIC,'=',0.03,ug.mL-1,UO_0000274,0.0,CHEMBL1678016,Antimicrobial activity against Streptococcus agalactiae by broth microdilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1671722,1.0,Scientific Literature,Antimicrob Agents Chemother,2010.0,nan,0.03
CHEMBL1097945,nan,,444.54,0.0,4.68,MBX-1066,c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCN1,MIC90,'=',0.03,ug.mL-1,UO_0000274,0.0,CHEMBL1678016,Antimicrobial activity against Streptococcus agalactiae by broth microdilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1671722,1.0,Scientific Literature,Antimicrob Agents Chemother,2010.0,nan,0.03
CHEMBL1098279,BUTYL DIETHYLCARBAMO(DITHIOPEROXO)THIOATE,,237.46,0.0,3.79,1e,CCCCSSC(=S)N(CC)CC,MIC,'>',32000.0,nM,UO_0000065,0.0,CHEMBL4222724,Antibacterial activity against Streptococcus agalactiae SGBS005 after 20 hrs by broth microdilution assay,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL4219167,1.0,Scientific Literature,Bioorg Med Chem Lett,2018.0,nan,32.0
CHEMBL1099261,CYCLOHEXYL DIETHYLCARBAMO(DITHIOPEROXO)THIOATE,,263.5,0.0,4.33,1n,CCN(CC)C(=S)SSC1CCCCC1,MIC,'>',32000.0,nM,UO_0000065,0.0,CHEMBL4222724,Antibacterial activity against Streptococcus agalactiae SGBS005 after 20 hrs by broth microdilution assay,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL4219167,1.0,Scientific Literature,Bioorg Med Chem Lett,2018.0,nan,32.0
CHEMBL1136,TELITHROMYCIN,4.0,812.02,2.0,4.93,Telithromycin,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,MIC,'=',0.004,ug.mL-1,UO_0000274,0.0,CHEMBL1279001,Antibacterial activity against Streptococcus agalactiae group B clinical isolate by broth microdilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1275440,1.0,Scientific Literature,Antimicrob Agents Chemother,2008.0,nan,0.004
CHEMBL1136,TELITHROMYCIN,4.0,812.02,2.0,4.93,Telithromycin,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,MIC50,'=',0.015,ug.mL-1,UO_0000274,0.0,CHEMBL1279001,Antibacterial activity against Streptococcus agalactiae group B clinical isolate by broth microdilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1275440,1.0,Scientific Literature,Antimicrob Agents Chemother,2008.0,nan,0.015
CHEMBL1136,TELITHROMYCIN,4.0,812.02,2.0,4.93,Telithromycin,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,MIC90,'=',0.25,ug.mL-1,UO_0000274,0.0,CHEMBL1279001,Antibacterial activity against Streptococcus agalactiae group B clinical isolate by broth microdilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1275440,1.0,Scientific Literature,Antimicrob Agents Chemother,2008.0,nan,0.25
CHEMBL1136,TELITHROMYCIN,4.0,812.02,2.0,4.93,TEL,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,MIC,'=',0.125,ug.mL-1,UO_0000274,0.0,CHEMBL5544653,Antibacterial activity against erythromycin-resistant Streptococcus agalactiae 19-9 assessed as inhibition of visible bacterial growth incubated for 18 hrs by broth microdilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL5543097,1.0,Scientific Literature,Eur J Med Chem,2024.0,TIME = 18.0 hr,0.125
CHEMBL1136,TELITHROMYCIN,4.0,812.02,2.0,4.93,TEL,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,MIC,'<',0.03,ug.mL-1,UO_0000274,0.0,CHEMBL5544654,Antibacterial activity against erythromycin-resistant Streptococcus agalactiae 19-8 assessed as inhibition of visible bacterial growth incubated for 18 hrs by broth microdilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL5543097,1.0,Scientific Literature,Eur J Med Chem,2024.0,TIME = 18.0 hr,0.03
CHEMBL1160319,nan,,251.67,0.0,-1.61,15,NC(=O)CC[C@H](N)C(=O)N[C@@H](CCl)C(=O)O,MIC,'=',0.78,ug.mL-1,UO_0000274,0.0,CHEMBL809347,Compound was tested for antibacterial activity against Streptococcus agalactiae,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1123250,1.0,Scientific Literature,J Med Chem,1986.0,nan,0.78
CHEMBL1200699,DOXYCYCLINE,4.0,462.46,1.0,-0.35,Doxycycline,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O,MIC,'<',1.56,ug.mL-1,UO_0000274,0.0,CHEMBL5347521,Antibacterial activity against Streptococcus agalactiae incubated for 16 to 20 hrs,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL5346873,1.0,Scientific Literature,Eur J Med Chem,2023.0,TIME_Lower = 16.0 hrs | TIME_Upper = 20.0 hrs,1.56
CHEMBL1200699,DOXYCYCLINE,4.0,462.46,1.0,-0.35,Doxycycline,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O,MBC,'<',1.56,ug ml-1,UO_0000274,0.0,CHEMBL5347544,Bactericidal activity against Streptococcus agalactiae incubated overnight,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL5346873,1.0,Scientific Literature,Eur J Med Chem,2023.0,nan,1.56
CHEMBL1201760,BESIFLOXACIN,4.0,393.85,0.0,3.14,Besifloxacin,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,MIC,'=',0.03,ug.mL-1,UO_0000274,0.0,CHEMBL1665255,Antibacterial activity against Streptococcus agalactiae by CLSI M100-S18 method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1649565,1.0,Scientific Literature,Antimicrob Agents Chemother,2009.0,nan,0.03
CHEMBL1201760,BESIFLOXACIN,4.0,393.85,0.0,3.14,Besifloxacin,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,MIC50,'=',0.06,ug.mL-1,UO_0000274,0.0,CHEMBL1665255,Antibacterial activity against Streptococcus agalactiae by CLSI M100-S18 method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1649565,1.0,Scientific Literature,Antimicrob Agents Chemother,2009.0,nan,0.06
CHEMBL1201760,BESIFLOXACIN,4.0,393.85,0.0,3.14,Besifloxacin,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,MIC90,'=',0.06,ug.mL-1,UO_0000274,0.0,CHEMBL1665255,Antibacterial activity against Streptococcus agalactiae by CLSI M100-S18 method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1649565,1.0,Scientific Literature,Antimicrob Agents Chemother,2009.0,nan,0.06
CHEMBL1213283,NEMONOXACIN MALIC ACID,,505.52,0.0,2.22,TG-875649,COc1c(N2C[C@@H](C)C[C@H](N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12.O=C(O)CC(O)C(=O)O,MIC,'=',0.12,ug.mL-1,UO_0000274,0.0,CHEMBL1247534,Antibacterial activity against Streptococcus agalactiae by broth dilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1240400,1.0,Scientific Literature,Antimicrob Agents Chemother,2010.0,nan,0.12
CHEMBL1213283,NEMONOXACIN MALIC ACID,,505.52,0.0,2.22,TG-875649,COc1c(N2C[C@@H](C)C[C@H](N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12.O=C(O)CC(O)C(=O)O,MIC50,'=',0.12,ug.mL-1,UO_0000274,0.0,CHEMBL1247534,Antibacterial activity against Streptococcus agalactiae by broth dilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1240400,1.0,Scientific Literature,Antimicrob Agents Chemother,2010.0,nan,0.12
CHEMBL1213283,NEMONOXACIN MALIC ACID,,505.52,0.0,2.22,TG-875649,COc1c(N2C[C@@H](C)C[C@H](N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12.O=C(O)CC(O)C(=O)O,MIC90,'=',0.25,ug.mL-1,UO_0000274,0.0,CHEMBL1247534,Antibacterial activity against Streptococcus agalactiae by broth dilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1240400,1.0,Scientific Literature,Antimicrob Agents Chemother,2010.0,nan,0.25
CHEMBL1213658,nan,,204.31,0.0,1.72,3-OG,CCCCCCCCOC[C@H](O)CO,MCC,'=',5000000.0,nM,UO_0000065,0.0,CHEMBL1262475,Microbicidal activity against Streptococcus agalactiae serotype 1A after 30 mins,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1255299,1.0,Scientific Literature,Antimicrob Agents Chemother,2008.0,nan,5.0
CHEMBL1213658,nan,,204.31,0.0,1.72,3-OG,CCCCCCCCOC[C@H](O)CO,MCC,'=',5000000.0,nM,UO_0000065,0.0,CHEMBL1262476,Microbicidal activity against Streptococcus agalactiae serotype 1B after 30 mins,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1255299,1.0,Scientific Literature,Antimicrob Agents Chemother,2008.0,nan,5.0
CHEMBL1213658,nan,,204.31,0.0,1.72,3-OG,CCCCCCCCOC[C@H](O)CO,MCC,'=',5000000.0,nM,UO_0000065,0.0,CHEMBL1262477,Microbicidal activity against Streptococcus agalactiae serotype II after 30 mins,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1255299,1.0,Scientific Literature,Antimicrob Agents Chemother,2008.0,nan,5.0
CHEMBL1213658,nan,,204.31,0.0,1.72,3-OG,CCCCCCCCOC[C@H](O)CO,MCC,'=',5000000.0,nM,UO_0000065,0.0,CHEMBL1262478,Microbicidal activity against Streptococcus agalactiae serotype III after 30 mins,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1255299,1.0,Scientific Literature,Antimicrob Agents Chemother,2008.0,nan,5.0
CHEMBL1213658,nan,,204.31,0.0,1.72,3-OG,CCCCCCCCOC[C@H](O)CO,MCC,'=',5000000.0,nM,UO_0000065,0.0,CHEMBL1262479,Microbicidal activity against Streptococcus agalactiae serotype IV after 30 mins,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1255299,1.0,Scientific Literature,Antimicrob Agents Chemother,2008.0,nan,5.0
CHEMBL1213658,nan,,204.31,0.0,1.72,3-OG,CCCCCCCCOC[C@H](O)CO,MCC,'=',5000000.0,nM,UO_0000065,0.0,CHEMBL1262480,Microbicidal activity against Streptococcus agalactiae serotype V after 30 mins,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1255299,1.0,Scientific Literature,Antimicrob Agents Chemother,2008.0,nan,5.0
CHEMBL12282,nan,,938.53,3.0,6.78,12B,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2C(=O)OC[C@@H]2C)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)CC3CC3)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCc3ccc(F)c(Cl)c3)C(=O)O[C@]12C,MIC,'=',0.39,ug.mL-1,UO_0000274,0.0,CHEMBL809358,Minimum inhibitory activity against Streptococcus agalactiae CMX 508,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1147642,1.0,Scientific Literature,Bioorg Med Chem Lett,2004.0,nan,0.39
CHEMBL1234521,TIAMULIN,2.0,493.75,0.0,4.97,Tiamulin,C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,IZ,'=',11.07,mm,UO_0000016,0.0,CHEMBL2377990,Antibacterial activity against Streptococcus agalactiae at 80 ug/ml after 24 hrs by Oxford cup assay,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL2375359,1.0,Scientific Literature,Eur J Med Chem,2013.0,nan,11.07
CHEMBL1234521,TIAMULIN,2.0,493.75,0.0,4.97,Tiamulin,C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,IZ,'=',11.43,mm,UO_0000016,0.0,CHEMBL2377991,Antibacterial activity against Streptococcus agalactiae at 160 ug/ml after 24 hrs by Oxford cup assay,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL2375359,1.0,Scientific Literature,Eur J Med Chem,2013.0,nan,11.43
CHEMBL1234521,TIAMULIN,2.0,493.75,0.0,4.97,Tiamulin,C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,IZ,'=',12.32,mm,UO_0000016,0.0,CHEMBL2377993,Antibacterial activity against Streptococcus agalactiae at 320 ug/ml after 24 hrs by Oxford cup assay,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL2375359,1.0,Scientific Literature,Eur J Med Chem,2013.0,nan,12.32
CHEMBL1234521,TIAMULIN,2.0,493.75,0.0,4.97,Tiamulin,C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,MIC,'=',2.0,ug.mL-1,UO_0000274,0.0,CHEMBL2378002,Antibacterial activity against Streptococcus agalactiae after 48 hrs by agar dilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL2375359,1.0,Scientific Literature,Eur J Med Chem,2013.0,nan,2.0
CHEMBL1234521,TIAMULIN,2.0,493.75,0.0,4.97,2,C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,MIC,'=',0.5,ug.mL-1,UO_0000274,0.0,CHEMBL3292778,Antibacterial activity against Streptococcus agalactiae after 48 hrs by agar dilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL3286209,1.0,Scientific Literature,J Med Chem,2014.0,nan,0.5
